tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name
ROTORUA DISTRICT,429.4056990569468,2966561.0073546087,68.96938542879732,860055.4434009755,2.966561007354609,0.8600554434009755,0.025801663302029265,0.03440221773603902,0.04300277217004878,baseline_current_structure
RUAPEHU DISTRICT,165.24533955955798,1055271.27113511,20.494995239665712,255249.64309591497,1.05527127113511,0.25524964309591497,0.007657489292877449,0.010209985723836598,0.01276248215479575,baseline_current_structure
SELWYN DISTRICT,605.2736196007075,3797852.398273555,72.18360986823642,898637.2111773636,3.7978523982735553,0.8986372111773636,0.026959116335320908,0.03594548844709455,0.044931860558868185,baseline_current_structure
SOUTH TARANAKI DISTRICT,554.135716787623,3536371.3063141634,67.94448954206935,844696.6592930361,3.5363713063141633,0.8446966592930361,0.02534089977879108,0.033787866371721445,0.04223483296465181,baseline_current_structure
SOUTH WAIKATO DISTRICT,382.20960258690394,2628109.140136822,59.80476475797972,743875.7337937363,2.628109140136822,0.7438757337937363,0.02231627201381209,0.029755029351749455,0.037193786689686814,baseline_current_structure
SOUTH WAIRARAPA DISTRICT,181.18561842244236,1186689.7250214266,23.114270600314338,287562.95679299626,1.1866897250214266,0.28756295679299626,0.008626888703789888,0.011502518271719851,0.014378147839649814,baseline_current_structure
SOUTHLAND DISTRICT,1365.854155895003,9068056.144146442,193.24408664078481,2406377.149189037,9.068056144146443,2.4063771491890367,0.07219131447567109,0.09625508596756148,0.12031885745945184,baseline_current_structure
STRATFORD DISTRICT,177.67941822812466,1121563.5026361325,20.67162743311976,256512.73436295052,1.1215635026361326,0.2565127343629505,0.0076953820308885154,0.01026050937451802,0.012825636718147527,baseline_current_structure
TARARUA DISTRICT,378.72916167592155,2451797.34571993,51.53679378151237,642865.4950471334,2.4517973457199296,0.6428654950471334,0.019285964851414,0.025714619801885337,0.03214327475235667,baseline_current_structure
TASMAN DISTRICT,867.4433169845639,5331595.61090429,93.46265583431955,1161143.368064119,5.33159561090429,1.161143368064119,0.034834301041923574,0.04644573472256476,0.058057168403205954,baseline_current_structure
TAUPO DISTRICT,263.894756075808,1831842.4403939235,43.10634557608136,537643.9729611243,1.8318424403939235,0.5376439729611243,0.01612931918883373,0.021505758918444973,0.026882198648056216,baseline_current_structure
TAURANGA CITY,382.9281411902174,2538127.453650063,57.075261007279046,713739.9696356533,2.538127453650063,0.7137399696356533,0.0214121990890696,0.028549598785426133,0.03568699848178267,baseline_current_structure
THAMES-COROMANDEL DISTRICT,244.27677480252848,1538580.2898240061,28.660898620580916,356823.7344685892,1.5385802898240062,0.35682373446858917,0.010704712034057675,0.014272949378743568,0.017841186723429457,baseline_current_structure
TIMARU DISTRICT,1073.4325028653561,6884044.131514043,134.50010091614618,1672173.8566820326,6.884044131514043,1.6721738566820326,0.05016521570046097,0.0668869542672813,0.08360869283410163,baseline_current_structure
UPPER HUTT CITY,36.462010074983354,225244.0613573451,3.7465587572580556,46264.10662734358,0.22524406135734512,0.04626410662734358,0.0013879231988203073,0.0018505642650937433,0.002313205331367179,baseline_current_structure
WAIKATO DISTRICT,733.0743901278075,4795341.988475543,96.54456925135821,1199300.4475800975,4.795341988475544,1.1993004475800975,0.03597901342740292,0.0479720179032039,0.059965022379004876,baseline_current_structure
WAIMAKARIRI DISTRICT,504.51979793761245,3047790.030293393,52.42297555158805,652242.3794149911,3.047790030293393,0.6522423794149911,0.019567271382449732,0.026089695176599644,0.03261211897074956,baseline_current_structure
WAIMATE DISTRICT,363.94010130108524,2351741.345819783,47.854417966733415,596263.9391507102,2.351741345819783,0.5962639391507102,0.017887918174521306,0.02385055756602841,0.029813196957535513,baseline_current_structure
