region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
RANGITIKEI DISTRICT,accelerated_modernization,2030,352.959699402742,2.658100869767887,1.182738180317204,0.0473095272126881,0.035482145409516115,0.059136909015860196
ROTORUA DISTRICT,accelerated_modernization,2030,429.4056990569468,3.3714059333897275,1.5921989304519002,0.063687957218076,0.04776596791355701,0.07960994652259501
RUAPEHU DISTRICT,accelerated_modernization,2030,165.245339559558,1.1997360386904177,0.4905497755363983,0.0196219910214559,0.014716493266091948,0.024527488776819914
SELWYN DISTRICT,accelerated_modernization,2030,605.2736196007075,4.287985274615818,1.7249941022248314,0.0689997640889932,0.05174982306674494,0.08624970511124158
SOUTH TARANAKI DISTRICT,accelerated_modernization,2030,554.1357167876229,4.022936099952266,1.6358237256535837,0.0654329490261433,0.04907471176960751,0.08179118628267919
SOUTH WAIKATO DISTRICT,accelerated_modernization,2030,382.209602586904,2.98336592507817,1.3940201659058409,0.0557608066362336,0.04182060497717523,0.06970100829529205
SOUTH WAIRARAPA DISTRICT,accelerated_modernization,2030,181.1856184224424,1.3450067636236838,0.5609056379133159,0.0224362255165326,0.016827169137399477,0.028045281895665797
SOUTHLAND DISTRICT,accelerated_modernization,2030,1365.8541558950028,10.294168125448548,4.550297127471343,0.1820118850988537,0.1365089138241403,0.22751485637356716
STRATFORD DISTRICT,accelerated_modernization,2030,177.6794182281247,1.2727346442511571,0.5054530798839809,0.0202181231953592,0.015163592396519427,0.02527265399419905
TARARUA DISTRICT,accelerated_modernization,2030,378.7291616759216,2.7896528869478505,1.2019838634333797,0.0480793545373351,0.03605951590300139,0.06009919317166899
TASMAN DISTRICT,accelerated_modernization,2030,867.4433169845639,6.011087221886123,2.2806655585797144,0.0912266223431885,0.06841996675739143,0.11403327792898572
TAUPO DISTRICT,accelerated_modernization,2030,263.894756075808,2.0824482433823364,0.9946108419395818,0.0397844336775832,0.029838325258187453,0.049730542096979094
TAURANGA CITY,accelerated_modernization,2030,382.9281411902175,2.8815687686496734,1.306459924995619,0.0522583969998247,0.03919379774986857,0.06532299624978095
THAMES-COROMANDEL DISTRICT,accelerated_modernization,2030,244.2767748025285,1.737833863482385,0.6917790585390764,0.027671162341563,0.02075337175617229,0.03458895292695382
TIMARU DISTRICT,accelerated_modernization,2030,1073.432502865356,7.801003130784231,3.2266711548768634,0.1290668461950745,0.0968001346463059,0.16133355774384317
